label,kind,selection_score,passes_is_preservation,dev_return_pct,dev_trades,dev_pf,dev_exp_r,dev_exit_eff,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_exp_r,oos_exit_eff,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
ablate_strategy_active_cumulative_to_base__trend__h1_indicators.ema_fast,ablation,73.57094550937127,False,49.27222172688466,41.0,4.458772652974068,0.4808018761217599,0.4718625892055924,4.131700374794018,33.739498919256675,39.0,2.5531918767231168,0.3400756236156312,0.42895017916941286,5.4210451348411,-17.382744643923296,-4.0,0.0,0.0,Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml).
targeted_trend_sol_disabled,targeted,73.5632591244666,False,61.04907869731987,40.0,7.115576970904699,0.5598562293248621,0.48862008864544654,3.846207393448526,34.949387194911566,36.0,2.684348231530218,0.3772803665915554,0.42895017916941286,4.647685466035636,-5.605887673488084,-5.0,1.2098882756548903,-3.0,Targeted OOS repair probe.
ablate_strategy_active_cumulative_to_base__breakout__exits.tp1_r,ablation,73.483153421818,False,64.1177773538664,45.0,6.147062429121469,0.5059656346669565,0.4884498256590355,3.846207393448526,28.918086885700063,39.0,2.361281785940139,0.3088324561375559,0.39984921055751993,5.421045134841088,-2.5371890169415536,0.0,-4.821412033556612,0.0,Revert active cumulative strategy diff to pre-round baseline (builtin:crypto_trader.optimize.breakout_round3_pre_round1.build_pre_round1_config).
ablate_strategy_active_cumulative_to_base__trend__setup.min_weekly_room_r,ablation,73.37976704720457,True,66.65496637080795,45.0,6.321492107306187,0.5264376460104578,0.5016298044946584,3.846207393448526,31.840682211322445,37.0,2.5134948045443455,0.3434686851363699,0.42354491497150487,5.421045134841123,0.0,0.0,-1.8988167079342304,-2.0,"Revert active cumulative strategy diff to pre-round baseline (C:\Users\sehyu\Documents\Other\Projects\crypto_trader\config\trend_pre_round1.yaml). aliases=ablate_strategy_to_round1__trend__setup.min_weekly_room_r,ablate_strategy_to_round1__trend__setup.min_weekly_room_r"
ablate_strategy_to_round2__trend__setup.min_weekly_room_r,ablation,73.37976704720457,True,66.65496637080795,45.0,6.321492107306187,0.5264376460104578,0.5016298044946584,3.846207393448526,31.840682211322445,37.0,2.5134948045443455,0.3434686851363699,0.42354491497150487,5.421045134841123,0.0,0.0,-1.8988167079342304,-2.0,Revert field to value before accepted strategy round 3.
perturb_strategy__momentum__exits.proof_lock_trigger_r__0.32,perturbation,72.99523098955666,False,56.50943493827826,45.0,5.573320628984942,0.44710825090114487,0.4959576841677522,3.846207393448526,30.634089058155904,39.0,2.4875205051623235,0.3045695409255557,0.421408473034136,5.4210451348411,-10.145531432529694,0.0,-3.105409861100771,0.0,Perturb accepted cumulative strategy field.
perturb_strategy_active_cumulative__trend__setup.min_room_r__1.65,perturbation,72.95674193367743,False,60.45354014278518,42.0,6.0018868793131315,0.5303928605736689,0.4992985391554438,3.846207393448526,32.36649380927696,37.0,2.575272394405856,0.3479575269906556,0.42354491497150487,4.62947817625304,-6.201426228022775,-3.0,-1.3730051099797151,-2.0,Perturb active cumulative strategy diff versus pre-round baseline.
perturb_strategy__momentum__trail.trail_activation_bars__4,perturbation,72.92114510080746,False,56.01442570065378,45.0,5.466437581153028,0.4428794600081134,0.4959576841677522,3.846207393448526,30.628534538260883,39.0,2.50834599846741,0.3037941093762804,0.4305376671417212,6.253501937583499,-10.640540670154174,0.0,-3.1109643809957923,0.0,Perturb accepted cumulative strategy field.
checkpoint_portfolio_phase_4,checkpoint,72.8753417825736,False,56.14948313243102,45.0,6.403387656078822,0.5264376460104578,0.5016298044946584,3.34876200582904,28.95179404064895,39.0,2.5645900924215765,0.3400756236156312,0.42895017916941286,4.757702223239214,-10.505483238376932,0.0,-4.787704878607727,0.0,aliases=ablate_portfolio_phase_5
perturb_risk_all_1.00,perturbation,72.8753417825736,False,56.14948313243102,45.0,6.403387656078822,0.5264376460104578,0.5016298044946584,3.34876200582904,28.95179404064895,39.0,2.5645900924215765,0.3400756236156312,0.42895017916941286,4.757702223239214,-10.505483238376932,0.0,-4.787704878607727,0.0,
