label,kind,selection_score,passes_dev_minus_2_trade_preserve,passes_strict_is,dev_return_pct,dev_trades,dev_pf,dev_dd,oos_return_pct,oos_trades,oos_pf,oos_dd,delta_dev_return_pct,delta_dev_trades,delta_oos_return_pct,delta_oos_trades,notes
extended_body108_scorea250_breakbody0715_momrisk_0.019,extended,61.70971656971136,True,True,73.97256675434258,46.0,5.956392060641234,3.846207393448526,47.97617610740877,42.0,2.7125889432301045,5.458037317738112,7.317600383534625,1.0,14.236677188152093,3.0,
extended_body108_scorea250_breakbody0715_riskall_1.35,extended,60.33486789712309,True,True,72.53840168253711,46.0,6.06451202748639,3.901403566703282,47.62321589353745,42.0,2.789457156011162,5.2113483039910005,5.8834353117291585,1.0,13.883716974280773,3.0,
extended_body108_scorea250_breakbody0715_riskall_1.32,extended,58.846205691375175,True,True,71.79263445973193,46.0,6.094452763606507,3.901403566703282,47.25105034210047,42.0,2.8145193626315184,5.123276055777501,5.137668088923974,1.0,13.511551422843795,3.0,
combo_body108_scorea250_breakbody0715_momrisk018,combo,57.74478451573127,True,True,72.04822975132821,46.0,6.022604833189033,3.846207393448526,46.97569504818949,42.0,2.7613601990143763,5.256182599028689,5.393263380520253,1.0,13.236196128932818,3.0,
combo_body108_scorea250_breakbody0715_riskall125,combo,55.364125458356554,True,True,70.06106119188186,46.0,6.166500738376535,3.901403566703282,46.380530283845815,42.0,2.8768059271398605,4.938290738028236,3.406094821073907,1.0,12.64103136458914,3.0,
extended_body108_breakbody0715_momrisk_0.019,extended,55.08319135753075,True,True,73.97256675434258,46.0,5.956392060641234,3.846207393448526,46.31954480436363,42.0,2.6814630179219425,5.458037317738169,7.317600383534625,1.0,12.580045885106955,3.0,
extended_body108_momrisk020_riskall_1.3,extended,54.97197408639641,True,True,79.55259362868587,46.0,5.567585286010387,3.901403566703282,46.32849546845298,43.0,2.3761326389746182,6.2050572452299,12.897627257877915,1.0,12.588996549196303,4.0,
combo_body108_breakbody0715_momrisk018,combo,51.14539919356419,True,True,72.04822975132821,46.0,6.022604833189033,3.846207393448526,45.32584871764772,42.0,2.7287084382168696,5.256182599028731,5.393263380520253,1.0,11.586349798391048,3.0,
extended_body108_risk_all_1.45,extended,50.619545336399135,True,True,73.99854394936655,46.0,5.697599581234772,3.901403566703282,45.16469959465083,43.0,2.4879808503659255,5.90230250001857,7.343577578558595,1.0,11.425200675394152,4.0,
combo_body108_breakbody0715_riskall125,combo,49.147137538758315,True,True,70.06106119188186,46.0,6.166500738376535,3.901403566703282,44.826283303946255,42.0,2.843943342267527,4.938290738028238,3.406094821073907,1.0,11.08678438468958,3.0,
